region,sector,CO2 shares,CO2 shares without russia,CO2 shares without china,CO2 shares without india,Sectoral CO2 share,Embodied CO2,Embodied value added
KHM,Wood and Paper,1.0826328072938454e-06,1.0826328072938454e-06,1.0826328072938454e-06,2.931362838391534e-06,0.02804217512653697,3.6651038763858446,4941.115383821194
KHM,"Petroleum, Chemical and Non-Metallic Mineral Products",2.1924313491579815e-06,2.1924313491579815e-06,2.1924313491579815e-06,5.940396199253987e-06,0.03945136037193592,7.422173596045287,7139.631040590358
KHM,Metal Products,1.2264943573163204e-06,1.2264943573163204e-06,1.2264943573163204e-06,3.298937753775812e-06,0.03168783924269073,4.1521272892161,3723.6696772478304
KHM,Electrical and Machinery,7.057913124265047e-07,7.057913124265047e-07,7.057913124265047e-07,1.910882254485082e-06,0.01669327849447756,2.3893590307500565,5241.756220379932
KHM,Transport Equipment,5.454956853795268e-07,5.454956853795268e-07,5.454956853795268e-07,1.475020736520703e-06,0.013840104139235464,1.846700319412741,1232.2024636515143
KHM,Other Manufacturing,1.2469762262392049e-06,1.2469762262392049e-06,1.2469762262392049e-06,3.3759797636545395e-06,0.03331520175345739,4.2214658282656705,1935.0601895267666
KHM,Recycling,1.3670226728334955e-06,1.3670226728334955e-06,1.3670226728334955e-06,3.645276234421213e-06,0.03698139447284977,4.627866496890209,286.3169824737528
KHM,"Electricity, Gas and Water",2.365989656192424e-06,2.365989656192424e-06,2.365989656192424e-06,6.409259498546725e-06,0.02040869016182872,8.009731279135384,1542.3785955041408
KHM,Construction,6.189533905985802e-07,6.189533905985802e-07,6.189533905985802e-07,1.6770358133244113e-06,0.01517675154350264,2.0953812372040006,24515.00676821981
KHM,Maintenance and Repair,1.7439805500075423e-06,1.7439805500075423e-06,1.7439805500075423e-06,4.711669232938778e-06,0.04758477916100458,5.904005338754985,2433.2905086992137
KHM,Wholesale Trade,2.164313053513286e-06,2.164313053513286e-06,2.164313053513286e-06,5.868383305021326e-06,0.052662930506522404,7.3269829887863605,31006.14294260317
KHM,Retail Trade,2.964032307472347e-07,2.964032307472347e-07,2.964032307472347e-07,8.00957490409525e-07,0.007358035389726832,1.0034322095784445,4414.997826685453
KHM,Hotels and Restraurants,1.502358575078423e-06,1.502358575078423e-06,1.502358575078423e-06,4.072285907792379e-06,0.037144433122582775,5.086027506412832,12014.292604633154
KHM,Transport,1.4906621028757895e-05,1.4906621028757895e-05,1.4906621028757895e-05,4.0408450178053184e-05,0.07711758748071833,50.46430714849619,33924.7979086428
KHM,Post and Telecommunications,1.8853125213924555e-06,1.8853125213924555e-06,1.8853125213924555e-06,5.108966229493625e-06,0.046952331720296205,6.382465212398465,17057.171733671246
