Region,Sector,Share of Indicrect CO2 produced in the global south
SVK,"Electricity, Gas and Water",0.02503027875740149
SVK,Construction,0.01885318604158757
SVK,Maintenance and Repair,0.015447126688461888
SVK,Wholesale Trade,0.02959869361383746
SVK,Retail Trade,0.048376428131665386
SVK,Hotels and Restraurants,0.014382390183499407
SVK,Transport,0.5633310896774844
SVK,Post and Telecommunications,0.03559474244818053
SVK,Finacial Intermediation and Business Activities,0.06603216561668108
SVK,Public Administration,0.01541495889287973
SVK,"Education, Health and Other Services",0.031310069399397636
SVK,Private Households,0.6651429764092756
SVK,Others,0.025503549141218353
SVK,Re-export & Re-import,0.6408065767586663
SVN,Agriculture,0.06110362493327429
SVN,Fishing,0.4332212278900115
SVN,Mining and Quarrying,0.09896321468550286
SVN,Food & Beverages,0.056209374690539896
SVN,Textiles and Wearing Apparel,0.17625601573398453
SVN,Wood and Paper,0.10059736732178651
SVN,"Petroleum, Chemical and Non-Metallic Mineral Products",0.09046775533235639
SVN,Metal Products,0.0859963013668828
SVN,Electrical and Machinery,0.052858468675424944
SVN,Transport Equipment,0.049540018892600304
SVN,Other Manufacturing,0.07794743960462713
SVN,Recycling,0.06100829356824392
SVN,"Electricity, Gas and Water",0.12579356134118977
SVN,Construction,0.03683947805454817
SVN,Maintenance and Repair,0.031140990425083843
SVN,Wholesale Trade,0.02700180679198815
SVN,Retail Trade,0.0332576821160718
SVN,Hotels and Restraurants,0.01636151672983321
SVN,Transport,0.06426719521015505
SVN,Post and Telecommunications,0.03598486878989858
SVN,Finacial Intermediation and Business Activities,0.045384604025158155
SVN,Public Administration,0.030067998460402586
SVN,"Education, Health and Other Services",0.03889397557832507
SVN,Private Households,0.6542902064889081
SVN,Others,0.06058267834412709
SVN,Re-export & Re-import,0.21563177409561227
ESP,Agriculture,0.028320995905797598
ESP,Fishing,0.019056569808236938
ESP,Mining and Quarrying,0.010257039492716162
ESP,Food & Beverages,0.04483925177598016
ESP,Textiles and Wearing Apparel,0.04974283080008655
ESP,Wood and Paper,0.022189898319882582
ESP,"Petroleum, Chemical and Non-Metallic Mineral Products",0.2948554655910101
ESP,Metal Products,0.04815318299586304
ESP,Electrical and Machinery,0.030944676859613253
ESP,Transport Equipment,0.030626146619703525
ESP,Other Manufacturing,0.04257640379141056
ESP,Recycling,0.005144242579374363
ESP,"Electricity, Gas and Water",0.1313487236313866
ESP,Construction,0.011719355545704887
ESP,Maintenance and Repair,0.004652753729170226
ESP,Wholesale Trade,0.0053566680286750235
ESP,Retail Trade,0.0037129877604642307
ESP,Hotels and Restraurants,0.005882009438384285
ESP,Transport,0.03281339952618196
ESP,Post and Telecommunications,0.019793291034299543
ESP,Finacial Intermediation and Business Activities,0.010880488132415819
ESP,Public Administration,0.009781482997803848
ESP,"Education, Health and Other Services",0.015418060265023894
ESP,Private Households,0.7131220808633759
ESP,Others,
ESP,Re-export & Re-import,0.5202379647906781
SWE,Agriculture,0.0424661594649527
SWE,Fishing,0.0997059724913501
SWE,Mining and Quarrying,0.0701017039590819
SWE,Food & Beverages,0.032179613104142565
SWE,Textiles and Wearing Apparel,0.061241258505425514
SWE,Wood and Paper,0.031247594880675342
SWE,"Petroleum, Chemical and Non-Metallic Mineral Products",0.07199262794439523
SWE,Metal Products,0.03685639147665176
SWE,Electrical and Machinery,0.026426572270592266
SWE,Transport Equipment,0.0213022828730311
SWE,Other Manufacturing,0.036619785633423
SWE,Recycling,0.04174316182513041
SWE,"Electricity, Gas and Water",0.0477446316219276
SWE,Construction,0.034306485576388
SWE,Maintenance and Repair,0.030337198810451563
SWE,Wholesale Trade,0.605798541631968
SWE,Retail Trade,0.5575789503942437
SWE,Hotels and Restraurants,0.03139612398927664
SWE,Transport,0.050988218733938606
SWE,Post and Telecommunications,0.033638287549069085
SWE,Finacial Intermediation and Business Activities,0.024493662077755433
SWE,Public Administration,0.02322077272665096
SWE,"Education, Health and Other Services",0.02280633094657683
SWE,Private Households,0.5808875694658205
SWE,Others,0.04560436502790311
SWE,Re-export & Re-import,0.09238853200867744
