Region,Sector,Share of Indicrect CO2 produced in the global south
BGR,Recycling,0.01804355935834875
BGR,"Electricity, Gas and Water",0.1452723098944785
BGR,Construction,0.04032084815020328
BGR,Maintenance and Repair,0.08124725822342557
BGR,Wholesale Trade,0.05183674111094299
BGR,Retail Trade,0.026105676690883158
BGR,Hotels and Restraurants,0.07218306620866335
BGR,Transport,0.29910107031178823
BGR,Post and Telecommunications,0.12920142225402312
BGR,Finacial Intermediation and Business Activities,0.0625539496136006
BGR,Public Administration,0.18297070471608295
BGR,"Education, Health and Other Services",0.06980129728727248
BGR,Private Households,0.1989184310780392
BGR,Others,0.10912346087671994
BGR,Re-export & Re-import,0.562896605551819
HRV,Agriculture,0.036432645916325425
HRV,Fishing,0.2050039946449305
HRV,Mining and Quarrying,0.1537059530539983
HRV,Food & Beverages,0.07763815450612925
HRV,Textiles and Wearing Apparel,0.036022735554605965
HRV,Wood and Paper,0.054098244075240276
HRV,"Petroleum, Chemical and Non-Metallic Mineral Products",0.11980770307158188
HRV,Metal Products,0.09370513269461984
HRV,Electrical and Machinery,0.05495853240871263
HRV,Transport Equipment,0.05700629045932536
HRV,Other Manufacturing,0.06553348369574415
HRV,Recycling,0.02259015561312514
HRV,"Electricity, Gas and Water",0.023631675867857044
HRV,Construction,0.023383087882814884
HRV,Maintenance and Repair,0.10294485200673534
HRV,Wholesale Trade,0.05372473623330786
HRV,Retail Trade,0.01940126369622508
HRV,Hotels and Restraurants,0.057532431179104795
HRV,Transport,0.17621266811008005
HRV,Post and Telecommunications,0.08094489961842559
HRV,Finacial Intermediation and Business Activities,0.053076616308847226
HRV,Public Administration,0.11218969128147288
HRV,"Education, Health and Other Services",0.04594935615960033
HRV,Private Households,0.3134686382447223
HRV,Others,0.0877968834665492
HRV,Re-export & Re-import,0.5921199735903286
CYP,Agriculture,0.024017527336380753
CYP,Fishing,0.3030368915149394
CYP,Mining and Quarrying,0.12506828209183207
CYP,Food & Beverages,0.03234617886811906
CYP,Textiles and Wearing Apparel,0.05862149040749911
CYP,Wood and Paper,0.042602490802960115
CYP,"Petroleum, Chemical and Non-Metallic Mineral Products",0.05408359719532215
CYP,Metal Products,0.04551844005111101
CYP,Electrical and Machinery,0.032187294039619646
CYP,Transport Equipment,0.029852117765355474
CYP,Other Manufacturing,0.05236161436047947
CYP,Recycling,0.037824332158189464
CYP,"Electricity, Gas and Water",0.010899962171955003
CYP,Construction,0.015982701495005157
CYP,Maintenance and Repair,0.10324654843277727
CYP,Wholesale Trade,0.01821505269387399
CYP,Retail Trade,0.014531731735389202
CYP,Hotels and Restraurants,0.017131237832363106
CYP,Transport,0.0718828533434933
CYP,Post and Telecommunications,0.03578159215719053
CYP,Finacial Intermediation and Business Activities,0.020090766671056675
CYP,Public Administration,0.05456790371520828
CYP,"Education, Health and Other Services",0.020111626193724225
CYP,Private Households,0.417736168668231
CYP,Others,0.11733933936263381
CYP,Re-export & Re-import,0.6743780647138481
CZE,Agriculture,0.024981923110352532
CZE,Fishing,0.050412640285776786
CZE,Mining and Quarrying,0.01754861497263192
CZE,Food & Beverages,0.017282925521787867
CZE,Textiles and Wearing Apparel,0.034911267097970794
CZE,Wood and Paper,0.014570582811303788
CZE,"Petroleum, Chemical and Non-Metallic Mineral Products",0.22060094367361302
CZE,Metal Products,0.04390109404322289
CZE,Electrical and Machinery,0.0201597038142463
CZE,Transport Equipment,0.01711457138817862
CZE,Other Manufacturing,0.027371891059033163
CZE,Recycling,0.020088462119659523
CZE,"Electricity, Gas and Water",0.11097480558607209
CZE,Construction,0.013218706992901012
CZE,Maintenance and Repair,0.01711852439066153
CZE,Wholesale Trade,0.022107889322702357
CZE,Retail Trade,0.018184161040829507
CZE,Hotels and Restraurants,0.008571229754687357
CZE,Transport,0.0224912623278219
CZE,Post and Telecommunications,0.012371726967356047
CZE,Finacial Intermediation and Business Activities,0.01243228248355406
CZE,Public Administration,0.012302306281451398
CZE,"Education, Health and Other Services",0.012712654091880708
CZE,Private Households,0.2843026312142223
CZE,Others,0.021182725855600045
CZE,Re-export & Re-import,0.6197266728963711
DNK,Agriculture,0.07343861150145208
DNK,Fishing,0.07499550496712847
DNK,Mining and Quarrying,0.038629638405936445
DNK,Food & Beverages,0.051895040017728065
DNK,Textiles and Wearing Apparel,0.07386134031720078
DNK,Wood and Paper,0.032008429363477794
DNK,"Petroleum, Chemical and Non-Metallic Mineral Products",0.06296742250783857
DNK,Metal Products,0.04001130726376599
DNK,Electrical and Machinery,0.026900506750643278
DNK,Transport Equipment,0.04713170235455533
DNK,Other Manufacturing,0.07368505044657228
DNK,Recycling,0.05787845547799979
DNK,"Electricity, Gas and Water",0.019520075721802005
DNK,Construction,0.02987206448932957
DNK,Maintenance and Repair,0.03829504956819538
DNK,Wholesale Trade,0.03824667758101694
DNK,Retail Trade,0.03155802305762841
DNK,Hotels and Restraurants,0.04916552880899243
DNK,Transport,0.01894167806316005
DNK,Post and Telecommunications,0.018425951928924895
DNK,Finacial Intermediation and Business Activities,0.024212386777587833
DNK,Public Administration,0.027965803616904567
DNK,"Education, Health and Other Services",0.023255970377421588
DNK,Private Households,0.7342392498011773
