region,sector,CO2 shares,CO2 shares without russia,CO2 shares without china,CO2 shares without india,Sectoral CO2 share,Embodied CO2,Embodied value added
CPV,Finacial Intermediation and Business Activities,1.605987594973524e-08,1.605987594973524e-08,4.586951392980753e-08,1.605987594973524e-08,0.013697023146253363,0.22533883629940632,1261.2821582088532
CPV,Public Administration,8.534196552735572e-09,8.534196552735572e-09,2.4323201048851666e-08,8.534196552735572e-09,0.011307609297780866,0.11974475556117493,500.55620230672514
CPV,"Education, Health and Other Services",1.2152923823538301e-08,1.2152923823538301e-08,3.466838968141953e-08,1.2152923823538301e-08,0.011859288655120493,0.170519730077778,818.429670880579
CPV,Private Households,3.101615282322999e-08,3.101615282322999e-08,8.925495571870487e-08,3.101615282322999e-08,0.06760505748531853,0.43519288726426375,261.40036317158297
CPV,Others,1.55402884875693e-08,1.55402884875693e-08,4.450911042825258e-08,1.55402884875693e-08,0.03371003144218183,0.21804841671916259,55.67818473242288
CPV,Re-export & Re-import,0.0,0.0,0.0,0.0,,0.0,0.07033846702248274
BIH,Agriculture,8.564519277402112e-06,8.564519277402112e-06,2.4895449103997912e-05,8.564519277402112e-06,0.34218971644653395,120.17021884066543,41457.65290636337
BIH,Fishing,2.0436222194052744e-06,2.0436222194052744e-06,5.922572799907436e-06,2.0436222194052744e-06,0.10608556751482777,28.67440907997712,3846.2383358175953
BIH,Mining and Quarrying,1.6271874673917524e-05,1.6271874673917524e-05,4.728742494225104e-05,1.6271874673917524e-05,0.3702754123693402,228.31342626222485,27109.49215137382
BIH,Food & Beverages,5.352087520597161e-06,5.352087520597161e-06,1.5556435372694783e-05,5.352087520597161e-06,0.16053435619118825,75.09604541396357,10876.684235021577
BIH,Textiles and Wearing Apparel,1.9921047687433464e-05,1.9921047687433464e-05,5.790905395497499e-05,1.9921047687433464e-05,0.7008688035378544,279.51559014534234,76225.08933516996
BIH,Wood and Paper,1.2120732424012645e-05,1.2120732424012645e-05,3.5222107007285576e-05,1.2120732424012645e-05,0.4350156085229342,170.06804710521556,58774.523851925114
BIH,"Petroleum, Chemical and Non-Metallic Mineral Products",2.8011764680638315e-05,2.8011764680638315e-05,8.14063932013001e-05,2.8011764680638315e-05,0.29279388513347265,393.0378089833197,46667.53896976879
BIH,Metal Products,1.8555940362887545e-05,1.8555940362887545e-05,5.3904700068679904e-05,1.8555940362887545e-05,0.4145937182949442,260.3615383394786,62699.008017744425
BIH,Electrical and Machinery,1.357735863947048e-05,1.357735863947048e-05,3.9460322658129203e-05,1.357735863947048e-05,0.3166622329057209,190.50621595171202,97478.45181760094
BIH,Transport Equipment,4.00440853100601e-06,4.00440853100601e-06,1.1635843776270248e-05,4.00440853100601e-06,0.13201878199744135,56.18653352420105,9840.57439506368
BIH,Other Manufacturing,5.5403056197960215e-06,5.5403056197960215e-06,1.609726343646465e-05,5.5403056197960215e-06,0.24296187970158417,77.73696540467225,11146.022008437994
BIH,Recycling,2.851073729475954e-06,2.851073729475954e-06,8.273246875765987e-06,2.851073729475954e-06,0.1386407866208162,40.00389781432347,652.9357166300648
BIH,"Electricity, Gas and Water",0.0001538590207029284,0.0001538590207029284,0.0004469653503076565,0.0001538590207029284,0.1232410990185646,2158.8219478081155,19369.187327252712
BIH,Construction,1.6184561004582756e-06,1.6184561004582756e-06,4.697838957040416e-06,1.6184561004582756e-06,0.04101747231890482,22.708831339693827,17597.603096562776
BIH,Maintenance and Repair,1.5760933923551747e-06,1.5760933923551747e-06,4.551371981220036e-06,1.5760933923551747e-06,0.0814500619529928,22.114433015801318,3125.8253175823957
BIH,Wholesale Trade,3.341494928809851e-06,3.341494928809851e-06,9.707139380978388e-06,3.341494928809851e-06,0.15177512208744282,46.88508062671509,97268.27426730156
BIH,Retail Trade,4.125593856707077e-07,4.125593856707077e-07,1.1935999736356452e-06,4.125593856707077e-07,0.019175246520604858,5.788690533003016,9983.208596022507
BIH,Hotels and Restraurants,1.7402784774951385e-06,1.7402784774951385e-06,5.0532342234849555e-06,1.7402784774951385e-06,0.08148686373366869,24.41814172058545,22083.51047987035
BIH,Transport,7.119039086554935e-05,7.119039086554935e-05,0.00020686490887483142,7.119039086554935e-05,0.22832104645918613,998.8844175105371,81685.73582856366
BIH,Post and Telecommunications,1.962260350366906e-06,1.962260350366906e-06,5.698397713854369e-06,1.962260350366906e-06,0.09487940183314351,27.532806931515147,28525.302402330926
