region,sector,0
UGA,Construction,2.8946400492690677e-05
UGA,Maintenance and Repair,6.882855416790949e-06
UGA,Wholesale Trade,5.132489729137176e-05
UGA,Retail Trade,9.742254254639062e-06
UGA,Hotels and Restraurants,2.3427531105817458e-05
UGA,Transport,7.352601698749561e-05
UGA,Post and Telecommunications,2.6356465897722267e-05
UGA,Finacial Intermediation and Business Activities,2.0535588986914568e-05
UGA,Public Administration,5.011228964270699e-06
UGA,"Education, Health and Other Services",2.035296281273466e-05
UGA,Private Households,3.272593555214172e-06
UGA,Others,3.081877923158874e-07
UGA,Re-export & Re-import,9.172928318950365e-10
SYR,Agriculture,0.00012630080219002768
SYR,Fishing,3.4654262398209074e-06
SYR,Mining and Quarrying,0.0005730476311557707
SYR,Food & Beverages,3.2358702533997655e-06
SYR,Textiles and Wearing Apparel,2.176397524937712e-06
SYR,Wood and Paper,6.110681126769627e-05
SYR,"Petroleum, Chemical and Non-Metallic Mineral Products",9.768511314959202e-05
SYR,Metal Products,9.767081815091635e-05
SYR,Electrical and Machinery,6.256783347921057e-05
SYR,Transport Equipment,4.075691529242381e-06
SYR,Other Manufacturing,5.1722326950327394e-06
SYR,Recycling,4.4845703205182745e-08
SYR,"Electricity, Gas and Water",0.00017837889039133562
SYR,Construction,0.00013421843523880476
SYR,Maintenance and Repair,1.0442061190910833e-05
SYR,Wholesale Trade,0.000333081050069956
SYR,Retail Trade,6.107878451874058e-05
SYR,Hotels and Restraurants,3.38866280874278e-05
SYR,Transport,0.00016416066094465448
SYR,Post and Telecommunications,0.00012066586400514098
SYR,Finacial Intermediation and Business Activities,0.0006867896913188005
SYR,Public Administration,3.532643081871754e-06
SYR,"Education, Health and Other Services",4.790206180967906e-05
SYR,Private Households,2.9171564949387116e-08
SYR,Others,1.2381210979558642e-06
SYR,Re-export & Re-import,2.0552780774484876e-11
ERI,Agriculture,1.6236692363540657e-05
ERI,Fishing,9.838795069996945e-06
ERI,Mining and Quarrying,5.085460932298843e-07
ERI,Food & Beverages,3.3372295114345145e-07
ERI,Textiles and Wearing Apparel,1.895341492793226e-06
ERI,Wood and Paper,9.772813859916563e-07
ERI,"Petroleum, Chemical and Non-Metallic Mineral Products",1.482603073824294e-06
ERI,Metal Products,1.6079726351562082e-06
ERI,Electrical and Machinery,2.7574346096428605e-06
ERI,Transport Equipment,5.914912125412509e-07
ERI,Other Manufacturing,5.06598337300804e-07
ERI,Recycling,1.0030595094390006e-07
ERI,"Electricity, Gas and Water",4.764120720809878e-07
ERI,Construction,2.5808255748915678e-05
ERI,Maintenance and Repair,6.2891108616763465e-06
ERI,Wholesale Trade,1.2218381816741146e-05
ERI,Retail Trade,6.72295845484174e-06
ERI,Hotels and Restraurants,5.654039592781654e-06
ERI,Transport,1.3730566020823454e-05
ERI,Post and Telecommunications,1.0321914274147013e-05
ERI,Finacial Intermediation and Business Activities,4.689785900544275e-06
ERI,Public Administration,2.953374879755063e-06
ERI,"Education, Health and Other Services",3.546324357642412e-06
ERI,Private Households,1.8511439183450086e-06
ERI,Others,1.9652439075294842e-07
ERI,Re-export & Re-import,5.2604033962583855e-11
CAF,Agriculture,3.318280435472434e-05
CAF,Fishing,2.906554398519843e-06
CAF,Mining and Quarrying,7.478330425748053e-07
CAF,Food & Beverages,2.8293077525622504e-07
CAF,Textiles and Wearing Apparel,3.7868238835844495e-07
CAF,Wood and Paper,2.972141840930131e-06
CAF,"Petroleum, Chemical and Non-Metallic Mineral Products",1.7279788145617533e-06
CAF,Metal Products,1.4123040675533514e-06
CAF,Electrical and Machinery,1.6717185812955435e-06
CAF,Transport Equipment,3.4765543844929476e-07
CAF,Other Manufacturing,6.620106934087814e-07
CAF,Recycling,5.7848314176530795e-08
CAF,"Electricity, Gas and Water",3.3684098672713974e-07
CAF,Construction,1.2061184585150856e-06
CAF,Maintenance and Repair,9.393517632871147e-07
CAF,Wholesale Trade,4.448426811117317e-06
CAF,Retail Trade,1.4761562068805942e-06
CAF,Hotels and Restraurants,2.246649477918206e-06
CAF,Transport,3.5003148418881667e-06
CAF,Post and Telecommunications,1.3367795996629471e-06
CAF,Finacial Intermediation and Business Activities,2.1533193676100618e-06
CAF,Public Administration,5.356784422646964e-07
CAF,"Education, Health and Other Services",1.2296802025238132e-06
CAF,Private Households,2.2934112541497012e-07
CAF,Others,2.8076550940460065e-08
CAF,Re-export & Re-import,2.157144988888505e-12
TCD,Agriculture,0.0006128401236178873
TCD,Fishing,9.238850521788935e-06
TCD,Mining and Quarrying,2.9764773534867895e-06
TCD,Food & Beverages,3.5702378063856747e-06
TCD,Textiles and Wearing Apparel,8.54323244353814e-07
TCD,Wood and Paper,2.692321171503747e-06
TCD,"Petroleum, Chemical and Non-Metallic Mineral Products",5.440022567528787e-06
TCD,Metal Products,2.9490660689517055e-06
TCD,Electrical and Machinery,5.683820946186736e-06
